비고,시군구,운영기관,이용가능시간,이용자 제한,주소,지역,충전기타입,충전소,충전소별 충전기연번
"","수성구","대구환경공단","09:00~18:00","","대구광역시 수성구 범안로 76대구시_범물1동","대구광역시","DC차데모+AC3상+DC콤보","대구시_범물1동",1
"","수성구","대구환경공단","09:00~18:00","","대구광역시 수성구 범어천로 97대구시_범어1동","대구광역시","DC차데모+AC3상+DC콤보","대구시_범어1동",1
"","남구","대구환경공단","24시간 이용가능","","대구광역시 남구 중앙대로22길 100","대구광역시","DC차데모+AC3상+DC콤보","대구시_봉덕3동 행정복지센터",1
"","북구","대구환경공단","09:00~18:00","","대구광역시 북구 연암로36길 6대구시_산격1동","대구광역시","DC차데모+AC3상+DC콤보","대구시_산격1동",1
"","중구","대구환경공단","09:00~18:00","","대구광역시 중구 달구벌대로447길 72-11대구시_삼덕동","대구광역시","AC완속","대구시_삼덕동",1
"","서구","대구환경공단","09:00~18:00","","대구광역시 서구 평리로17길 45대구 서구 중리동 산 198-3 대구시_상리공원","대구광역시","DC차데모+AC3상+DC콤보","대구시_상리공원",1
"","달서구","대구환경공단","09:00~18:00","","대구광역시 달서구 상인로 25대구시_상인3동","대구광역시","DC차데모+AC3상+DC콤보","대구시_상인3동",1
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 달서대로91길 115상호림공원","대구광역시","DC차데모+AC3상+DC콤보","대구시_상호림공원",1
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 당산로 82","대구광역시","DC차데모+AC3상+DC콤보","대구시_성당두산위브",1
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 당산로 82","대구광역시","AC완속","대구시_성당두산위브",2
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 당산로 82","대구광역시","AC완속","대구시_성당두산위브",3
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 월배로83길 120-14","대구광역시","DC차데모+AC3상+DC콤보","대구시_송현2동 행정복지센터",1
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구","대구광역시","DC차데모+AC3상+DC콤보","대구시_수성의료지구",1
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구","대구광역시","DC차데모+AC3상+DC콤보","대구시_수성의료지구",2
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구","대구광역시","DC차데모+AC3상+DC콤보","대구시_수성의료지구",3
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구","대구광역시","DC차데모+AC3상+DC콤보","대구시_수성의료지구",4
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구","대구광역시","AC완속","대구시_수성의료지구",5
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구","대구광역시","AC완속","대구시_수성의료지구",6
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구","대구광역시","DC차데모+AC3상+DC콤보","대구시_수성의료지구(대구도시공사)",1
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구","대구광역시","DC차데모+AC3상+DC콤보","대구시_수성의료지구(대구도시공사)",2
"","수성구","대구환경공단","24시간 이용가능","","대구광역시 수성구","대구광역시","DC차데모+AC3상+DC콤보","대구시_수성의료지구(대구도시공사)",3
"","달서구","대구환경공단","09:00~18:00","","대구광역시 달서구 선원로 60대구시_신당동","대구광역시","DC차데모+AC3상+DC콤보","대구시_신당동",1
"","수성구","대구환경공단","09:00~18:00","","대구광역시 수성구 달구벌대로652길 65대구광역시 수성구 신매동 290-1","대구광역시","DC차데모+AC3상+DC콤보","대구시_신매공원",1
"","수성구","대구환경공단","09:00~18:00","","대구광역시 수성구 달구벌대로652길 65대구광역시 수성구 신매동 290-1","대구광역시","AC완속","대구시_신매공원",2
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 구암로 217운암지 공영주차장","대구광역시","DC차데모+AC3상+DC콤보","대구시_운암지 공영주차장",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 구암로 217운암지 공영주차장","대구광역시","DC차데모+AC3상+DC콤보","대구시_운암지 공영주차장",2
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 상인로 68-4월촌공원주차장","대구광역시","DC차데모+AC3상+DC콤보","대구시_월촌공원주차장",1
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 상인로 68-4월촌공원주차장","대구광역시","DC차데모+AC3상+DC콤보","대구시_월촌공원주차장",2
"","달서구","대구환경공단","24시간 이용가능","","대구광역시 달서구 장기로 277장기공영주차장","대구광역시","DC차데모+AC3상+DC콤보","대구시_장기공영주차장",1
